time,"I(R0)","I(R1)","I(R2)","I(LQ|XI227)","I(LQ|XI228)"
4.140000e-11,2.787033e-11,1.130000e-03,2.717623e-13,1.378748e-09,-2.133168e-07
4.160000e-11,3.385098e-11,1.130000e-03,1.116198e-12,3.351851e-09,-2.089684e-07
4.180000e-11,2.809668e-11,1.130000e-03,-1.469500e-13,4.931814e-09,-2.035310e-07
4.200000e-11,1.452582e-11,1.130000e-03,-2.772963e-12,5.910509e-09,-1.976055e-07
4.220000e-11,-9.801092e-13,1.130000e-03,-5.306688e-12,6.152981e-09,-1.918197e-07
4.240000e-11,-1.296643e-11,1.130000e-03,-6.401001e-12,5.616131e-09,-1.867669e-07
4.260000e-11,-1.816778e-11,1.130000e-03,-5.457040e-12,4.355750e-09,-1.829495e-07
4.280000e-11,-1.615735e-11,1.130000e-03,-2.812755e-12,2.520831e-09,-1.807333e-07
4.300000e-11,-8.918444e-12,1.130000e-03,5.294212e-13,3.357058e-10,-1.803141e-07
4.320000e-11,2.563507e-13,1.130000e-03,3.426780e-12,-1.927804e-09,-1.817005e-07
4.340000e-11,8.019511e-12,1.130000e-03,5.086594e-12,-3.984718e-09,-1.847150e-07
4.360000e-11,1.196484e-11,1.130000e-03,5.309390e-12,-5.573291e-09,-1.890131e-07
4.380000e-11,1.116206e-11,1.130000e-03,4.429376e-12,-6.488775e-09,-1.941182e-07
4.400000e-11,6.214566e-12,1.130000e-03,3.045599e-12,-6.610116e-09,-1.994708e-07
4.420000e-11,-1.066921e-12,1.130000e-03,1.710675e-12,-5.916079e-09,-2.044874e-07
4.440000e-11,-8.247934e-12,1.130000e-03,7.238232e-13,-4.488631e-09,-2.086220e-07
4.460000e-11,-1.297725e-11,1.130000e-03,9.256085e-14,-2.503070e-09,-2.114250e-07
4.480000e-11,-1.366995e-11,1.130000e-03,-3.641200e-13,-2.061234e-10,-2.125935e-07
4.500000e-11,-9.999351e-12,1.130000e-03,-8.544140e-13,2.115203e-09,-2.120059e-07
4.520000e-11,-3.039144e-12,1.130000e-03,-1.481709e-12,4.170020e-09,-2.097369e-07
4.540000e-11,5.032670e-12,1.130000e-03,-2.193672e-12,5.700512e-09,-2.060517e-07
4.560000e-11,1.162083e-11,1.130000e-03,-2.815625e-12,6.514699e-09,-2.013769e-07
4.580000e-11,1.458828e-11,1.130000e-03,-3.135316e-12,6.510776e-09,-1.962534e-07
4.600000e-11,1.301384e-11,1.130000e-03,-2.994223e-12,5.689929e-09,-1.912745e-07
4.620000e-11,7.537079e-12,1.130000e-03,-2.349804e-12,4.155987e-09,-1.870173e-07
4.640000e-11,1.349703e-13,1.130000e-03,-1.292399e-12,2.102019e-09,-1.839743e-07
4.660000e-11,-6.604870e-12,1.130000e-03,-1.890318e-14,-2.143848e-10,-1.824946e-07
4.680000e-11,-1.044215e-11,1.130000e-03,1.222979e-12,-2.503893e-09,-1.827421e-07
4.700000e-11,-1.029943e-11,1.130000e-03,2.201183e-12,-4.482067e-09,-1.846747e-07
4.720000e-11,-6.615245e-12,1.130000e-03,2.757578e-12,-5.905130e-09,-1.880493e-07
4.740000e-11,-1.103454e-12,1.130000e-03,2.842333e-12,-6.600325e-09,-1.924510e-07
4.760000e-11,3.969742e-12,1.130000e-03,2.515021e-12,-6.487044e-09,-1.973438e-07
4.780000e-11,6.687639e-12,1.130000e-03,1.912893e-12,-5.586117e-09,-2.021357e-07
4.800000e-11,6.199031e-12,1.130000e-03,1.197997e-12,-4.016224e-09,-2.062518e-07
4.820000e-11,2.975151e-12,1.130000e-03,5.032040e-13,-1.978004e-09,-2.092046e-07
4.840000e-11,-1.466657e-12,1.130000e-03,-1.018060e-13,2.719571e-10,-2.106533e-07
4.860000e-11,-5.228829e-12,1.130000e-03,-6.118600e-13,2.453841e-09,-2.104446e-07
4.880000e-11,-6.799862e-12,1.130000e-03,-1.057006e-12,4.299802e-09,-2.086302e-07
4.900000e-11,-5.613495e-12,1.130000e-03,-1.459239e-12,5.587158e-09,-2.054577e-07
4.920000e-11,-2.199700e-12,1.130000e-03,-1.798698e-12,6.165446e-09,-2.013380e-07
4.940000e-11,2.096359e-12,1.130000e-03,-2.007922e-12,5.974003e-09,-1.967914e-07
4.960000e-11,5.680994e-12,1.130000e-03,-1.998291e-12,5.048052e-09,-1.923819e-07
4.980000e-11,7.321916e-12,1.130000e-03,-1.705839e-12,3.512719e-09,-1.886454e-07
5.000000e-11,6.567310e-12,1.130000e-03,-1.133071e-12,1.565958e-09,-1.860240e-07
5.020000e-11,3.924690e-11,1.130009e-03,4.313648e-06,-5.472586e-10,-1.847987e-07
5.040000e-11,1.629238e-11,1.130013e-03,9.483556e-06,-2.564453e-09,-1.849843e-07
5.060000e-11,4.159886e-12,1.130014e-03,1.461026e-05,-4.235208e-09,-1.862997e-07
5.080000e-11,-1.205865e-12,1.130014e-03,1.969517e-05,-5.351074e-09,-1.882480e-07
5.100000e-11,-8.574537e-12,1.130013e-03,2.478570e-05,-5.773717e-09,-1.902551e-07
5.120000e-11,-1.417465e-11,1.130012e-03,2.988654e-05,-5.455968e-09,-1.918182e-07
5.140000e-11,-1.340087e-11,1.130011e-03,3.498793e-05,-4.449814e-09,-1.926164e-07
5.160000e-11,-6.255487e-12,1.130010e-03,4.008059e-05,-2.898754e-09,-1.925520e-07
5.180000e-11,3.443408e-12,1.130010e-03,4.516066e-05,-1.016803e-09,-1.917272e-07
5.200000e-11,1.068949e-11,1.130011e-03,5.023060e-05,9.410253e-10,-1.903844e-07
5.220000e-11,1.194838e-11,1.130012e-03,5.529684e-05,2.712378e-09,-1.888417e-07
5.240000e-11,6.871116e-12,1.130013e-03,6.036584e-05,4.062228e-09,-1.874420e-07
5.260000e-11,-1.637681e-12,1.130012e-03,6.544057e-05,4.815138e-09,-1.865151e-07
5.280000e-11,-9.019817e-12,1.130011e-03,7.051934e-05,4.880393e-09,-1.863392e-07
5.300000e-11,-1.149101e-11,1.130010e-03,7.559724e-05,4.264949e-09,-1.870959e-07
5.320000e-11,-7.981022e-12,1.130010e-03,8.066898e-05,3.071384e-09,-1.888196e-07
5.340000e-11,-5.600583e-13,1.130011e-03,8.573163e-05,1.481494e-09,-1.913596e-07
5.360000e-11,6.800832e-12,1.130011e-03,9.078570e-05,-2.710291e-10,-1.943721e-07
5.380000e-11,1.038803e-11,1.130012e-03,9.583432e-05,-1.934472e-09,-1.973601e-07
5.400000e-11,8.643633e-12,1.130012e-03,1.008811e-04,-3.275106e-09,-1.997605e-07
5.420000e-11,2.827931e-12,1.130011e-03,1.059281e-04,-4.110769e-09,-2.010633e-07
5.440000e-11,-3.834617e-12,1.130010e-03,1.109749e-04,-4.337086e-09,-2.009321e-07
5.460000e-11,-7.984717e-12,1.130010e-03,1.160191e-04,-3.941809e-09,-1.992931e-07
5.480000e-11,-7.889349e-12,1.130010e-03,1.210576e-04,-3.004679e-09,-1.963689e-07
