0b0101000101010000,320,5.509007395364632e-19,4.703501254041861e-19
0b0101000101010000,200,5.174714226570913e-19,4.3936436850194e-19
0b0101000101010000,100,4.861168978556578e-19,4.1006471237184876e-19
0b0101111001110001,8000,2.5270377233998685e-18,2.161922916160697e-18
0b0101111001110001,4000,1.4453484164076687e-18,1.2639676735991803e-18
0b0101111001110001,2000,9.708121327116135e-19,8.513881065164101e-19
0b0101111001110001,1000,7.454416464269121e-19,6.503297220967272e-19
0b0101111001110001,500,6.251196777773518e-19,5.409357609481344e-19
0b0101111001110001,400,5.997208279085294e-19,5.176103729616002e-19
0b0101111001110001,320,5.789248064128363e-19,4.984601675114827e-19
0b0101111001110001,200,5.467796749374803e-19,4.687652689027958e-19
0b0101111001110001,100,5.162002803693511e-19,4.402360891651046e-19
0b1101011111000000,8000,2.522279043034518e-18,2.167638996666935e-18
0b1101011111000000,4000,1.4408913441977422e-18,1.2690118176993434e-18
0b1101011111000000,2000,9.638472348540798e-19,8.538445127415658e-19
0b1101011111000000,1000,7.406397429782804e-19,6.5489027270494115e-19
0b1101011111000000,500,6.215100470169903e-19,5.466408375978139e-19
0b1101011111000000,400,5.961671302651853e-19,5.233658635518591e-19
0b1101011111000000,320,5.753217467200176e-19,5.041519006127838e-19
0b1101011111000000,200,5.424561809189463e-19,4.737169842479841e-19
0b1101011111000000,100,5.112952661130532e-19,4.445992355120782e-19
0b1001010010010110,8000,2.5178102205237545e-18,2.1630513826840303e-18
0b1001010010010110,4000,1.4363919629951242e-18,1.2644581723631705e-18
0b1001010010010110,2000,9.597580427930814e-19,8.496975263948093e-19
0b1001010010010110,1000,7.342309121439341e-19,6.484346993829723e-19
0b1001010010010110,500,6.1423810106121565e-19,5.393133478972411e-19
0b1001010010010110,400,5.887847569323109e-19,5.1593262437582695e-19
0b1001010010010110,320,5.678514383173381e-19,4.966340420033437e-19
0b1001010010010110,200,5.344460705322275e-19,4.656586026650666e-19
0b1001010010010110,100,5.031458557615388e-19,4.363997189929132e-19
0b0100101100001111,8000,2.5289712365864418e-18,2.1639667062023715e-18
0b0100101100001111,4000,1.4475626311226833e-18,1.266234286824736e-18
0b0100101100001111,2000,9.68265968657207e-19,8.488949105570489e-19
0b0100101100001111,1000,7.441604432288699e-19,6.491032563861209e-19
0b0100101100001111,500,6.265530179745284e-19,5.424179670671124e-19
0b0100101100001111,400,6.016098262012545e-19,5.195579710658676e-19
0b0100101100001111,320,5.810928897485421e-19,5.006909538367737e-19
0b0100101100001111,200,5.488373885505359e-19,4.708770810486737e-19
0b0100101100001111,100,5.178344617412972e-19,4.419291192059722e-19
0b0000101010111100,8000,2.4982353266545895e-18,2.132716263185463e-18
0b0000101010111100,4000,1.4233130059541237e-18,1.241564105279626e-18
0b0000101010111100,2000,9.436615919970612e-19,8.239148144495768e-19
0b0000101010111100,1000,7.174002576916015e-19,6.219768623213587e-19
0b0000101010111100,500,5.964850584617279e-19,5.1199184640488175e-19
0b0000101010111100,400,5.708537433047929e-19,4.884407204029675e-19
0b0000101010111100,320,5.497809550987659e-19,4.690219274782532e-19
0b0000101010111100,200,5.16507386004448e-19,4.381916272018258e-19
0b0000101010111100,100,4.846913318092977e-19,4.0842879028602066e-19
0b1110000111010101,8000,2.5421754241410125e-18,2.177166303518003e-18
0b1110000111010101,4000,1.456001472101297e-18,1.2746674050572165e-18
0b1110000111010101,2000,9.807407965302743e-19,8.613511910109814e-19
0b1110000111010101,1000,7.580175931286095e-19,6.629611479259717e-19
0b1110000111010101,500,6.3981015171835575e-19,5.556764429491731e-19
0b1110000111010101,400,6.146578424199995e-19,5.326075135134344e-19
0b1110000111010101,320,5.940049836953453e-19,5.135978804454748e-19
0b1110000111010101,200,5.612782822451948e-19,4.833135876797247e-19
0b1110000111010101,100,5.305096610009771e-19,4.545996278046741e-19
0b0110011100100101,8000,2.5481576981669762e-18,2.1831747006395916e-18
0b0110011100100101,4000,1.4610461816910791e-18,1.2796980635615195e-18
0b0110011100100101,2000,9.84315881435882e-19,8.649533933434335e-19
0b0110011100100101,1000,7.609710818546841e-19,6.659191954905061e-19
0b0110011100100101,500,6.443204240698972e-19,5.601888326715019e-19
0b0110011100100101,400,6.195437322319022e-19,5.374924410068708e-19
0b0110011100100101,320,5.991561640290677e-19,5.18752963989206e-19
0b0110011100100101,200,5.668093255783163e-19,4.88843402775697e-19
0b0110011100100101,100,5.362773277031004e-19,4.603708938587153e-19
